run_id,ts,experiment,cell,label,engine,n,ef,k,concurrency,selectivity,trial,p50_ms,p95_ms,p99_ms,qps,recall_at_10,recall_at_50,recall_at_100,error_rate,n_measured,invalid,index_build_s,time_to_searchable_s,rss_mb,host_ok
qdrant-100k-vol,2026-09-12T09:33:57.757248+00:00,E4,ingest,ingest_bulk,qdrant,10000,,,,,,,,,,,,,,,,6.644669700006489,6.644592199998442,266.9,
qdrant-100k-vol,2026-09-12T09:34:12.770019+00:00,E0,e0_high_ef,e0_high_ef,qdrant,10000,256.0,10.0,1.0,100,1.0,8.56430000567343,32.32705498085124,33.955820986011524,64.41063604590369,0.9997999999999999,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,87.8,True
qdrant-100k-vol,2026-09-12T09:35:03.552335+00:00,E4,ingest,ingest_bulk,qdrant,50000,,,,,,,,,,,,,,,,39.55877810000675,39.55839520000154,236.7,
qdrant-100k-vol,2026-09-12T09:35:20.750862+00:00,E1,e1_iso_config,e1_iso_config,qdrant,50000,64.0,10.0,1.0,100,1.0,21.60980000917334,32.58976499928394,34.841251980978996,52.61086355834666,0.9975999999999997,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,220.3,True
qdrant-100k-vol,2026-09-12T09:35:36.390971+00:00,E1,e1_iso_config,e1_iso_config,qdrant,50000,64.0,10.0,1.0,100,2.0,9.01049999811221,31.884745000570547,33.78217899269657,61.48991213095152,0.9975999999999997,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,207.9,True
qdrant-100k-vol,2026-09-12T09:35:52.799167+00:00,E1,e1_iso_config,e1_iso_config,qdrant,50000,64.0,10.0,1.0,100,3.0,9.912050009006634,32.76499001513002,50.28926100727403,57.89729261136693,0.9975999999999997,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,207.8,True
qdrant-100k-vol,2026-09-12T09:37:23.718374+00:00,E4,ingest,ingest_bulk,qdrant,100000,,,,,,,,,,,,,,,,79.9832202999969,79.9826267999888,389.1,
qdrant-100k-vol,2026-09-12T09:37:40.437880+00:00,E1,e1_iso_config,e1_iso_config,qdrant,100000,64.0,10.0,1.0,100,1.0,21.10464998986572,32.41788500745315,35.09775097831152,53.38004585549987,0.9987999999999999,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,300.5,True
qdrant-100k-vol,2026-09-12T09:37:57.341636+00:00,E1,e1_iso_config,e1_iso_config,qdrant,100000,64.0,10.0,1.0,100,2.0,19.30680000805296,32.82582999963779,33.842533000570256,55.132827054380954,0.9987999999999999,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,294.5,True
qdrant-100k-vol,2026-09-12T09:38:12.239754+00:00,E1,e1_iso_config,e1_iso_config,qdrant,100000,64.0,10.0,1.0,100,3.0,8.168350002961233,32.085044991981704,34.372964982467224,72.28534274737106,0.9987999999999999,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,292.5,True
qdrant-100k-vol,2026-09-12T09:38:29.239591+00:00,E1,e1_iso_recall_sweep,e1_iso_recall_sweep,qdrant,100000,32.0,10.0,1.0,100,1.0,9.993699990445748,32.75554502324666,37.456827004789375,59.72930678153359,0.9919999999999998,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,292.7,True
qdrant-100k-vol,2026-09-12T09:38:45.195293+00:00,E1,e1_iso_recall_sweep,e1_iso_recall_sweep,qdrant,100000,64.0,10.0,1.0,100,1.0,8.870550009305589,32.39851000980706,33.35140700393822,65.83857193283802,0.9987999999999999,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,294.4,True
qdrant-100k-vol,2026-09-12T09:39:01.050834+00:00,E1,e1_iso_recall_sweep,e1_iso_recall_sweep,qdrant,100000,128.0,10.0,1.0,100,1.0,9.321400008047931,32.971495008678176,34.83782599214464,63.03267495366905,0.9994,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,292.8,True
qdrant-100k-vol,2026-09-12T09:39:17.046487+00:00,E1,e1_iso_recall_sweep,e1_iso_recall_sweep,qdrant,100000,256.0,10.0,1.0,100,1.0,9.612199995899573,32.87286498671165,35.90458499500528,64.23168708671079,1.0,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,293.4,True
qdrant-100k-vol,2026-09-12T09:39:33.613773+00:00,E2,e2_concurrency,e2_concurrency,qdrant,100000,64.0,10.0,1.0,100,1.0,9.637399998609908,32.567535011912696,36.33639298379414,61.10973593843473,0.9987999999999999,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,293.4,True
qdrant-100k-vol,2026-09-12T09:39:43.916982+00:00,E2,e2_concurrency,e2_concurrency,qdrant,100000,64.0,10.0,4.0,100,1.0,18.775050004478544,29.76786002691363,42.4471360159805,200.09535744286364,0.9987999999999999,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,292.8,True
qdrant-100k-vol,2026-09-12T09:39:53.889030+00:00,E2,e2_concurrency,e2_concurrency,qdrant,100000,64.0,10.0,8.0,100,1.0,32.404149998910725,51.19952000532066,58.10341201082338,233.89959177125468,0.9987999999999999,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,294.4,True
qdrant-100k-vol,2026-09-12T09:40:10.597382+00:00,E3,e3_filter,e3_filter,qdrant,100000,64.0,10.0,1.0,100,1.0,11.582249993807636,33.795660003670484,36.779547979240306,66.77557406642595,0.9987999999999999,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,294.4,True
qdrant-100k-vol,2026-09-12T09:40:21.685860+00:00,E3,e3_filter,e3_filter,qdrant,100000,64.0,10.0,4.0,100,1.0,15.67750000685919,31.299305002903555,42.95976101537235,230.46065813224007,0.9987999999999999,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,293.9,True
qdrant-100k-vol,2026-09-12T09:40:38.369165+00:00,E3,e3_filter,e3_filter,qdrant,100000,64.0,10.0,1.0,50,1.0,10.370500007411465,32.23527500085765,34.57521900360006,64.72719732360324,0.4749999999999998,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,293.8,True
qdrant-100k-vol,2026-09-12T09:40:49.558305+00:00,E3,e3_filter,e3_filter,qdrant,100000,64.0,10.0,4.0,50,1.0,15.329149988247082,35.0760499961325,38.682779991067946,223.54774110297856,0.4749999999999998,0.20000000000000176,0.10000000000000088,0.0,500.0,False,,,294.8,True
qdrant-100k-vol,2026-09-12T09:41:06.116361+00:00,E3,e3_filter,e3_filter,qdrant,100000,64.0,10.0,1.0,10,1.0,10.67134999902919,32.71601500164252,35.703427002881654,65.23639608471305,0.10380000000000043,0.10191999999999975,0.08892000000000051,0.0,500.0,False,,,295.6,True
qdrant-100k-vol,2026-09-12T09:41:17.826170+00:00,E3,e3_filter,e3_filter,qdrant,100000,64.0,10.0,4.0,10,1.0,15.634549999958836,29.707580007379864,42.45373299025231,232.6854671870761,0.10380000000000043,0.10191999999999975,0.08892000000000051,0.0,500.0,False,,,295.1,True
qdrant-100k-vol,2026-09-12T09:41:33.895905+00:00,E3,e3_filter,e3_filter,qdrant,100000,64.0,10.0,1.0,1,1.0,9.712299986858852,31.67403997649671,34.41586399887455,72.22578415710345,0.011199999999999993,0.012639999999999941,0.01229999999999992,0.0,500.0,False,,,295.7,True
qdrant-100k-vol,2026-09-12T09:41:45.286469+00:00,E3,e3_filter,e3_filter,qdrant,100000,64.0,10.0,4.0,1,1.0,14.80039999296423,33.76438997656805,41.45447501097806,223.4505747217204,0.011199999999999993,0.012639999999999941,0.01229999999999992,0.0,500.0,False,,,293.5,True
qdrant-100k-vol,2026-09-12T09:41:52.343278+00:00,E5,e5_cold,cold_no_warmup,qdrant,100000,64.0,,,,,8.943549997638911,31.512229995860253,32.00554399867542,77.80926459373404,,,,0.0,50.0,,,,,
